
=== Top 50 Cumulative Time Entries ===
         175810 function calls (170411 primitive calls) in 0.317 seconds

   Ordered by: cumulative time
   List reduced from 2757 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.063    0.016 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/engine/base.py:3251(connect)
      5/4    0.000    0.000    0.063    0.016 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/engine/base.py:132(__init__)
        4    0.000    0.000    0.063    0.016 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/engine/base.py:3276(raw_connection)
        4    0.000    0.000    0.063    0.016 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/pool/base.py:441(connect)
        4    0.000    0.000    0.062    0.016 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/pool/base.py:1255(_checkout)
        4    0.000    0.000    0.062    0.016 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/pool/base.py:707(checkout)
        4    0.000    0.000    0.062    0.016 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/pool/impl.py:307(_do_get)
        4    0.000    0.000    0.062    0.016 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/pool/base.py:387(_create_connection)
        4    0.000    0.000    0.062    0.016 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/pool/base.py:666(__init__)
        4    0.000    0.000    0.062    0.016 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/pool/base.py:888(__connect)
    18/16    0.000    0.000    0.060    0.004 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/state_changes.py:95(_go)
        1    0.000    0.000    0.059    0.059 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:1085(_validate_conn)
        1    0.000    0.000    0.059    0.059 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/urllib3/connection.py:669(connect)
       13    0.000    0.000    0.055    0.004 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/session.py:2099(_connection_for_bind)
       13    0.000    0.000    0.055    0.004 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/session.py:1152(_connection_for_bind)
        4    0.000    0.000    0.054    0.014 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/engine/create.py:634(connect)
        4    0.000    0.000    0.054    0.014 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/engine/default.py:620(connect)
        4    0.000    0.000    0.054    0.014 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/psycopg2/__init__.py:80(connect)
       15    0.000    0.000    0.052    0.003 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/sql/elements.py:506(_execute_on_connection)
       15    0.000    0.000    0.052    0.003 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/engine/base.py:1588(_execute_clauseelement)
       14    0.000    0.000    0.048    0.003 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/engine/base.py:1372(execute)
       11    0.000    0.000    0.045    0.004 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/orm/context.py:295(orm_execute_statement)
        1    0.000    0.000    0.036    0.036 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/urllib3/connection.py:485(getresponse)
       18    0.000    0.000    0.036    0.002 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/engine/base.py:1788(_execute_context)
       18    0.000    0.000    0.035    0.002 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/engine/base.py:1847(_exec_single_context)
        1    0.000    0.000    0.035    0.035 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/urllib3/connection.py:846(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.034    0.034 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/urllib3/util/ssl_.py:390(ssl_wrap_socket)
        1    0.000    0.000    0.034    0.034 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/urllib3/util/ssl_.py:488(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.034    0.034 /Users/tombedor/development/elroy/elroy/db/db_manager.py:115(_migrate_if_needed)
       18    0.000    0.000    0.034    0.002 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/engine/default.py:941(do_execute)
        2    0.000    0.000    0.030    0.015 /Users/tombedor/development/elroy/elroy/repository/user/queries.py:43(get_user_id_if_exists)
        3    0.000    0.000    0.028    0.009 /Users/tombedor/development/elroy/elroy/repository/context_messages/queries.py:43(get_context_messages)
        1    0.000    0.000    0.025    0.025 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/urllib3/connection.py:192(_new_conn)
        1    0.000    0.000    0.025    0.025 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/urllib3/util/connection.py:27(create_connection)
        1    0.000    0.000    0.021    0.021 /Users/tombedor/development/elroy/elroy/db/postgres/postgres_manager.py:28(get_engine)
      3/2    0.000    0.000    0.020    0.010 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/util/deprecations.py:249(warned)
        1    0.000    0.000    0.020    0.020 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/engine/create.py:92(create_engine)
       15    0.000    0.000    0.019    0.001 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/sql/elements.py:668(_compile_w_cache)
        1    0.000    0.000    0.018    0.018 /Users/tombedor/development/elroy/elroy/io/cli.py:62(__init__)
        1    0.000    0.000    0.018    0.018 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/prompt_toolkit/shortcuts/prompt.py:373(__init__)
        1    0.000    0.000    0.016    0.016 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/prompt_toolkit/shortcuts/prompt.py:713(_create_application)
        3    0.000    0.000    0.016    0.005 /Users/tombedor/development/elroy/elroy/repository/context_messages/queries.py:23(_get_context_messages_iter)
        1    0.000    0.000    0.016    0.016 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/prompt_toolkit/application/application.py:186(__init__)
       10    0.000    0.000    0.015    0.002 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/sql/elements.py:310(_compiler)
       10    0.000    0.000    0.015    0.002 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/sql/compiler.py:1340(__init__)
       10    0.000    0.000    0.015    0.002 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/sql/compiler.py:827(__init__)
       10    0.000    0.000    0.015    0.002 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/sql/compiler.py:914(process)
   125/10    0.000    0.000    0.015    0.002 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/sql/visitors.py:129(_compiler_dispatch)
        8    0.000    0.000    0.015    0.002 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/sql/compiler.py:4654(visit_select)
        1    0.000    0.000    0.015    0.015 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/dialects/postgresql/psycopg2.py:694(import_dbapi)
        1    0.000    0.000    0.015    0.015 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/psycopg2/__init__.py:1(<module>)
        1    0.000    0.000    0.012    0.012 /Users/tombedor/development/elroy/elroy/repository/memories/queries.py:20(get_active_memories)
       51    0.000    0.000    0.012    0.000 /Users/tombedor/development/elroy/elroy/repository/context_messages/transform.py:40(db_message_to_context_message)
      230    0.000    0.000    0.012    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/toolz/functoolz.py:302(__call__)
  200/177    0.000    0.000    0.012    0.000 /Users/tombedor/development/elroy/.venv/lib/python3.12/site-packages/sqlalchemy/util/langhelpers.py:1142(__get__)
